Outlet Code,Outlet Name,Type,Town,Owner Name,Phone,Onboarded,Credit Days,Latitude,Longitude,Status
OA0018,Amman Agencies,General Trade,dindigul,Vignesh Krishnan,+91 86287 99892,14/04/2022,45,10.338432,77.979414,ACTIVE
OA0019,Poorvika Gadgets,General Trade,Tirupur,Saravanan Nathan,60934-07894,14-Mar-20,COD,11.090596,77.380146,Dormant
OA0020,Jeyam Agencies,General Trade,COIMBATORE,Dinesh Kumar,6989257965,2021-10-19,COD,,,active
OA0021,Ram Cellpoint,General Trade,VELLORE,Vignesh Kumar,0,01/03/2024,45,12.93038,79.160487,ACTIVE
OA0022,Chennai Silks Mobiles,General Trade,Mdu,Bala R,8629813863,25/05/2023,COD,,,Active
OA0023,Thangam Traders,Mobile Specialist,COIMBATORE,Bala V,7824143723,2021-05-23,30 days,,,Active
OA0024,Amman Electronics,Multi-Yard,ERODE,Rajesh Murugan,93659-19943,25/01/2023,30 days,11.307264,77.75043,Inactive
OA0025,Sangeetha Agencies,General Trade,Tiruppur,Ravi S,7662711891,2024-04-03,15,11.152195,77.35596,dormant
OA0026,Meenakshi Infotech,Mobile Specialist,Salem,Muthu M,9325882586,29-Mar-21,COD,,,Dormant
OA0027,Universal Cellpoint,General Trade,DINDIGUL,Bala S,6502354583,2020-09-28,0,,,active
OA0028,Anandha Enterprises,Mobile Specialist,COIMBATORE,Karthik Nathan,88505-92959,08/06/2024,30,11.056789,76.912661,Inactive
OA0029,Lakshmi Traders,General Trade,chennai,Ravi Murugan,917295768288,06/06/2024,30,,,Active
OA0030,Big C Mobile,Premium Reseller,Cbe,Gopal Krishnan,917025754932,2020-02-16,30 days,11.014507,76.997189,Dormant
OA0031,City Mobile,General Trade,VELLORE,Gopal Babu,916996951784,25/11/2023,,12.883977,79.09969,Active
OA0032,Modern Cellpoint,General Trade,TIRUPUR,Prabhu Krishnan,9102555837,19-Dec-19,45,11.071131,77.382931,Active
OA0033,Sri Balaji Mobile,Mobile Specialist,VELLORE,Saravanan Raj,8872743349,17-Sep-20,15,12.946138,79.100009,Dormant
OA0034,Poorvika Digital,Mobile Specialist,Salem,Rajesh V,8982422421,27/04/2022,COD,11.632509,78.123645,Dormant
OA0035,Selvam Electronics,General Trade,MADURAI,Senthil Murugan,9698931011,2022-03-05,15,,,dormant
OA0036,Jeyam Digital,Premium Reseller,Tiruppur,Bala Murugan,9373215888,2023-12-24,30 days,11.14601,77.310479,Active
OA0037,Karpagam Infotech,General Trade,Dindigul,Arun Krishnan,8536596084,08/12/2019,15,10.359146,77.982574,active
OA0038,Royal Communications,Mobile Specialist,tirupur,Muthu Babu,8092153945,27/11/2020,30,11.122262,77.302993,Active
OA0039,Big C Electronics,Mobile Specialist,Dindigul,Prabhu Babu,+91 82410 73552,21-Apr-21,15,10.348947,77.965629,Active
OA0040,Modern Mobile,Mobile Specialist,ERODE,Karthik Babu,9974832851,08/04/2025,45,11.344849,77.739804,dormant
OA0041,Poorvika Infotech,General Trade,CHENNAI,Arun Kumar,7596585913,13-Mar-20,COD,13.124978,80.271623,Dormant
OA0042,Anandha Mobiles,General Trade,Salem,Ravi R,7150638642,18/08/2020,15,11.626501,78.108453,Active
OA0043,Jeyam Electronics,General Trade,Vellore,Ramesh S,+91 95765 21508,22/11/2023,30,,,Dormant
OA0044,Muthu Mobiles,General Trade,Thanjavur,Arun M,+91 96126 88706,07-May-23,0,10.797327,79.161963,
OA0045,Amman Agencies,General Trade,COIMBATORE,Senthil S,85274-84423,12/09/2019,30,11.004571,76.932049,
OA0046,Selvam Infotech,Premium Reseller,salem,Arun R,91125-57889,16/11/2020,45,,,Hold
OA0047,Sakthi Infotech,Mobile Specialist,Tanjore,Vijay R,9131491104,03/06/2019,,10.769662,79.117236,Inactive
OA0048,Thangam Communications,General Trade,dindigul,Vignesh Raj,6373828329,23/06/2020,0,10.380893,77.929221,Active
OA0049,Anandha Infotech,General Trade,VELLORE,Muthu Nathan,7807769487,13/10/2019,COD,12.901795,79.09969,Hold
OA0050,Big C Electronics,General Trade,KARUR,Senthil Kumar,+91 64331 24807,29/05/2021,30 days,,,Hold
OA0051,Muthu Cellpoint,General Trade,chennai,Karthik Murugan,87943-41893,26/03/2020,COD,13.046665,80.315365,Hold
OA0052,Kumaran Agencies,General Trade,MADURAI,Gopal R,9238473469,2021-02-23,30 days,9.897641,78.157541,dormant
OA0053,Big C Agencies,General Trade,Karur,Vignesh Raj,9684807481,01/02/2024,COD,,,ACTIVE
OA0054,Lakshmi Gadgets,Mobile Specialist,CHENNAI,Rajesh Krishnan,+91 93479 47338,23/01/2023,45,13.092421,80.263285,Hold
OA0055,Saravana Digital,General Trade,chennai,Prabhu Raj,7403259576,10-Jan-21,30,13.03847,80.248482,dormant
OA0056,City Communications,Mobile Specialist,dindigul,Ramesh R,9328100655,02/03/2021,45,10.389105,77.964526,Active
OA0057,Vinayaga Agencies,General Trade,Karur,Naveen Kumar,6740974219,01/11/2023,45,10.989326,78.046763,Active
OA0058,New Star Telecom,General Trade,THANJAVUR,Manoj S,6710615617,12-Feb-21,30 days,10.803737,79.170688,ACTIVE
OA0059,Selvam Cellpoint,General Trade,COIMBATORE,Hari Krishnan,9763211397,2022-06-26,30,10.986835,76.995405,Active
OA0060,,Mobile Specialist,ERODE,Gopal Kumar,9882705407,11-May-24,30 days,11.301717,77.700582,Dormant
OA0061,Sri Balaji Communications,General Trade,Dindigul,Gopal Kumar,6652266475,2020-07-31,30,10.388078,77.946409,Dormant
OA0062,Jeyam Telecom,General Trade,SALEM,Hari Kumar,6726396338,03/05/2021,45,11.69472,78.117536,Inactive
OA0063,Amman Mobile,Mobile Specialist,Trichy,Naveen R,7912629621,2020-06-21,30,10.832045,78.732802,Hold
OA0064,Sakthi Cellpoint,General Trade,Karur,Bala Raj,7443971202,28/10/2023,45,10.966222,78.03447,Active
OA0065,Anandha Traders,Mobile Specialist,Chennai,Karthik Murugan,8304469245,11/02/2025,30,13.075308,80.25298,Active
OA0066,Universal Traders,Mobile Specialist,TIRUPUR,Anand Krishnan,+91 60925 85006,2021-06-18,30,,,Active
OA0067,Galaxy Traders,General Trade,trichy,Ravi R,,23-Sep-22,30,10.833825,78.716689,Dormant
OA0068,Saravana Mobile,Mobile Specialist,trichy,Dinesh Raj,9884951305,05/10/2022,45,,,Active
OA0069,Mobile World Infotech,General Trade,Vellore,Arun Kumar,7101777919,14/01/2022,30,12.934833,79.146606,Dormant
OA0070,Big C Digital,Premium Reseller,Tanjore,Muthu Nathan,+91 67931 54010,29-Apr-22,0,10.798985,79.093877,Active
OA0071,Lakshmi Mobile,General Trade,erode,Suresh Nathan,6598378852,01/09/2020,0,11.35227,77.745606,Active
OA0072,Meenakshi Enterprises,General Trade,KARUR,Manoj Murugan,+91 84136 91685,23-Sep-21,COD,10.955863,78.071028,Active
OA0073,Universal Communications,General Trade,Karur,Karthik Babu,0,01/10/2023,COD,10.993068,78.075805,Hold
OA0074,Poorvika Cellpoint,General Trade,KARUR,Gopal M,+91 79717 69686,16/07/2019,0,,,
OA0075,Ram Electronics,General Trade,TIRUPUR,Vijay M,9755135996,2022-01-28,,11.121243,77.307818,Dormant
OA0076,Royal Agencies,General Trade,Nellai,Vignesh Nathan,+91 69915 46615,22/08/2023,30,8.725059,77.727141,Inactive
OA0077,City Enterprises,Mobile Specialist,Erode,Saravanan Kumar,9424070028,17-Sep-23,30 days,11.370074,77.739124,
OA0078,,Premium Reseller,Erode,Naveen Murugan,8959167665,19/03/2021,30,11.367531,77.762118,Hold
OA0079,Vasanth Electronics,General Trade,Erode,Vijay R,7227091666,15/08/2022,15,11.364501,77.690195,Inactive
OA0080,Chennai Silks Enterprises,General Trade,THANJAVUR,Anand Krishnan,,05/06/2023,30,,,Active
OA0081,Devi Communications,Mobile Specialist,dindigul,Vignesh Kumar,8722319870,29/04/2024,45,10.370281,77.97879,Inactive
OA0082,Royal Electronics,Premium Reseller,salem,Vignesh V,+91 92949 29645,05-Dec-21,,11.685962,78.154721,Inactive
OA0083,Amman Digital,General Trade,Vellore,Manoj Krishnan,8298594952,10/11/2022,0,12.916556,79.1574,dormant
OA0084,Galaxy Mobile,Mobile Specialist,VELLORE,Ramesh R,75738-36726,2019-11-30,0,,,Hold
OA0085,Prime Enterprises,General Trade,Thanjavur,Ramesh V,9893262864,2023-07-28,30,10.787696,79.151452,Active
OA0086,New Star Gadgets,General Trade,Trichy,Manoj Babu,92658-91281,28-Oct-22,COD,10.800348,78.72487,Active
OA0087,Galaxy Mobile,Mobile Specialist,KARUR,Dinesh M,6453288365,05/08/2020,15,10.967277,78.040067,Active
OA0088,Saravana Telecom,General Trade,Vellore,Muthu Krishnan,0,11/01/2021,30,12.951673,79.101654,active
OA0089,iStore Enterprises,Premium Reseller,Thanjavur,Arun Krishnan,9553102777,12/05/2024,30 days,10.812988,79.150317,dormant
OA0090,Devi Traders,Mobile Specialist,TIRUNELVELI,Suresh Babu,96723-57234,2024-02-17,0,8.685028,77.743381,
OA0091,Bharath Mobile,General Trade,Tanjore,Suresh Krishnan,7556018106,04-Mar-21,30 days,10.804924,79.097888,Hold
OA0092,Poorvika Enterprises,Premium Reseller,DINDIGUL,Bala Krishnan,89795-52665,2020-06-21,30,,,Active
OA0093,Vinayaga Cellpoint,General Trade,VELLORE,Arun Babu,6194426808,24-Jul-24,,,,Hold
OA0094,Vinayaga Mobiles,Premium Reseller,erode,Hari S,,10/04/2020,30 days,11.33488,77.706486,Hold
OA0095,iStore Traders,Mobile Specialist,VELLORE,Anand S,0,05/09/2022,45,12.95011,79.101962,Active
OA0096,New Star Traders,Mobile Specialist,Tirunelveli,Arun Kumar,6149957569,07/01/2022,30,8.739134,77.793831,ACTIVE
OA0097,Saravana Traders,General Trade,trichy,Karthik S,8426473451,11/10/2022,COD,10.749351,78.688038,Active
OA0098,Vasanth Enterprises,General Trade,Madras,Anand Raj,7989462149,2019-09-11,30,13.120699,80.245748,Hold
OA0099,Selvam Agencies,General Trade,madurai,Dinesh S,6543231102,2023-12-31,COD,9.922172,78.075348,Active
OA0100,Ram Agencies,Mobile Specialist,Tirunelveli,Karthik Babu,6094800880,24/09/2022,30,,,
OA0101,Lakshmi Cellpoint,Mobile Specialist,dindigul,Naveen Nathan,8133063905,06/05/2023,45,10.396315,77.972709,Inactive
OA0102,Thangam Enterprises,General Trade,ERODE,Vijay Kumar,,06/08/2024,15,,,Active
OA0103,New Star Enterprises,General Trade,dindigul,Sathish Nathan,919616447409,31-May-20,45,10.321784,77.987819,active
OA0104,Galaxy Telecom,General Trade,SALEM,Senthil V,7528659260,28/07/2024,30,11.702195,78.187654,ACTIVE
OA0105,Chennai Silks Agencies,General Trade,COIMBATORE,Dinesh Nathan,,23/10/2021,30 days,10.98683,76.952813,ACTIVE
OA0106,Sri Krishna Mobile,Premium Reseller,DINDIGUL,Ravi Murugan,0,13/03/2024,15,10.388095,77.950065,
OA0107,Sri Krishna Traders,General Trade,CBE,Senthil S,7554845500,11-May-24,0,10.988888,76.927713,Dormant
OA0108,Anandha Mobiles,General Trade,coimbatore,Naveen Raj,6530155709,2024-03-16,COD,10.985096,76.959938,Active
OA0109,Bharath Infotech,General Trade,ERODE,Saravanan R,65503-11335,23/06/2019,30,,,Active
OA0110,Modern Traders,Multi-Yard,Vellore,Ramesh Murugan,9556914976,22/08/2023,30 days,12.953207,79.129787,ACTIVE
OA0111,City Infotech,General Trade,dindigul,Bala V,9079042618,12-Oct-19,,,,Dormant
OA0112,Karpagam Infotech,General Trade,Madras,Prabhu Kumar,7796889447,23/02/2020,30 days,13.116871,80.238031,Active
OA0113,Sakthi Infotech,Mobile Specialist,Cbe,Arun Murugan,7445030562,05/02/2023,0,,,ACTIVE
OA0114,Selvam Electronics,General Trade,Salem,Manoj Raj,,29-Sep-20,30,11.667596,78.184206,
OA0115,Bharath Electronics,General Trade,dindigul,Ravi V,7926547666,2023-11-02,30 days,10.35033,77.939502,Active
OA0116,Chennai Silks Communications,General Trade,Tiruppur,Ramesh R,9131107367,09/08/2019,15,11.139626,77.325557,Active
OA0117,Anandha Enterprises,Premium Reseller,Dindigul,Ravi Nathan,6009603060,2024-12-31,45,10.375491,77.981723,
OA0118,Selvam Mobile,Multi-Yard,Tiruchirappalli,Bala Raj,93539-08114,29/09/2023,0,,,Active
OA0119,City Communications,General Trade,TIRUPUR,Senthil Kumar,8003972040,01-Dec-19,15,11.124642,77.379373,Active
OA0120,City Gadgets,General Trade,Cbe,Bala Raj,7967987374,07-May-23,30,10.98166,76.95077,Inactive
OA0121,Devi Digital,General Trade,salem,Ravi Raj,7613541171,2023-12-26,0,11.630633,78.190678,Active
OA0122,Big C Digital,General Trade,Madras,Hari R,7025690664,02-Jan-25,15,13.057387,80.258945,Inactive
OA0123,Muthu Mobiles,Mobile Specialist,trichy,Vijay V,9410483510,02/05/2022,COD,10.796141,78.719938,ACTIVE
OA0124,Vasanth Electronics,Mobile Specialist,Tanjore,Muthu S,,2023-08-27,30 days,10.756774,79.099181,active
OA0125,Devi Communications,General Trade,KARUR,Muthu R,6503771066,13/06/2022,30,11.000745,78.109196,
OA0126,iStore Electronics,Premium Reseller,Tirunelveli,Ravi V,,25/12/2024,45,8.697042,77.75635,Active
OA0127,Sangeetha Agencies,Premium Reseller,Dindigul,Saravanan Murugan,9286514980,21/12/2021,,10.391347,78.008859,ACTIVE
OA0128,Prime Infotech,General Trade,Tirunelveli,Ramesh Murugan,9212215872,16/02/2024,30,8.702455,77.729028,Dormant
OA0129,Vasanth Traders,General Trade,KARUR,Gopal Murugan,0,31/12/2019,45,10.995667,78.088102,Active
OA0130,iStore Electronics,Mobile Specialist,KARUR,Manoj Kumar,7785324804,2022-02-03,45,10.936779,78.094595,ACTIVE
OA0131,Thangam Digital,Mobile Specialist,Coimbatore,Rajesh S,7001202186,2024-04-03,30,10.997796,76.967188,active
OA0132,Big C Agencies,General Trade,Tiruchirappalli,Ravi Kumar,+91 60422 96990,2023-08-01,45,10.808394,78.712845,Dormant
OA0133,Devi Electronics,Premium Reseller,VELLORE,Anand Krishnan,9942968533,2023-11-25,30,12.900639,79.101618,Active
OA0134,Jeyam Enterprises,General Trade,Nellai,Suresh Babu,7180755391,16/04/2020,,8.748716,77.721058,active
OA0135,Selvam Mobiles,Mobile Specialist,TIRUNELVELI,Saravanan V,8562913952,27/12/2024,45,8.716858,77.718986,active
OA0136,Thangam Mobile,General Trade,KARUR,Saravanan R,9100764429,2024-05-07,30,10.915958,78.038096,Inactive
OA0137,Vasanth Enterprises,General Trade,Tiruppur,Hari Murugan,7637783543,26-Aug-21,30,11.081187,77.364408,dormant
OA0138,Prime Electronics,Multi-Yard,chennai,Muthu Murugan,9496945795,2020-07-24,COD,13.124597,80.264056,ACTIVE
OA0139,Galaxy Infotech,General Trade,chennai,Dinesh Babu,8287907809,13/02/2021,15,13.08327,80.23781,Hold
OA0140,Thangam Mobile,Premium Reseller,CBE,Ravi M,7352625659,19/10/2019,15,11.05128,76.980118,Hold
OA0141,Muthu Electronics,General Trade,CHENNAI,Senthil V,9324141780,28/12/2022,,13.038759,80.227518,ACTIVE
OA0142,Bharath Agencies,Multi-Yard,KARUR,Vijay Kumar,68816-85983,10/11/2022,0,,,Hold
OA0143,Chennai Silks Communications,General Trade,COIMBATORE,Rajesh Babu,7558595378,15/01/2021,0,11.040638,76.947762,Hold
OA0144,Modern Telecom,General Trade,KARUR,Sathish Krishnan,6183142622,2020-10-13,30,10.988817,78.033731,Hold
OA0145,Ganesh Agencies,General Trade,THANJAVUR,Saravanan Krishnan,8806925203,02/03/2023,15,10.794471,79.14756,Active
OA0146,Kumaran Telecom,General Trade,Dindigul,Sathish Kumar,6937052215,13/06/2019,45,10.335697,77.924915,Hold
OA0147,Jeyam Enterprises,Mobile Specialist,Madurai,Ravi Raj,9002156339,12/06/2019,30 days,9.922397,78.124718,active
OA0148,Ganesh Communications,Premium Reseller,TRICHY,Dinesh Krishnan,9724224980,26/02/2025,30 days,10.751227,78.666425,active
OA0149,New Star Telecom,General Trade,Tirupur,Arun Nathan,8081523511,14/08/2019,45,,,Active
OA0150,Universal Communications,General Trade,VELLORE,Dinesh R,7071460925,14/05/2021,45,12.919331,79.10479,Inactive
OA0151,Chennai Silks Communications,General Trade,madurai,Muthu Kumar,0,2021-12-13,,9.96767,78.084186,dormant
OA0152,Meenakshi Gadgets,General Trade,salem,Rajesh M,8918669647,19/04/2023,COD,11.68137,78.189041,Dormant
OA0153,Galaxy Infotech,General Trade,DINDIGUL,Ramesh Babu,6461849810,29-Jan-24,,10.332654,77.947554,Active
OA0154,Karpagam Enterprises,Mobile Specialist,Chennai,Arun Raj,,2022-05-23,COD,13.056078,80.253157,Active
OA0155,Sakthi Electronics,General Trade,Erode,Dinesh M,6522102970,15/11/2020,0,11.363614,77.7305,Active
OA0156,Sakthi Mobiles,Mobile Specialist,KARUR,Prabhu Murugan,77118-22163,21/08/2019,45,10.993835,78.050625,dormant
OA0157,Vasanth Gadgets,General Trade,chennai,Saravanan M,8833760480,29-Feb-20,0,13.095722,80.28205,Active
OA0158,Ganesh Electronics,Mobile Specialist,Vellore,Vijay Krishnan,+91 82899 29056,27/10/2023,45,,,ACTIVE
OA0159,Meenakshi Mobiles,General Trade,chennai,Dinesh V,8901805171,25-Jun-19,30 days,,,Inactive
OA0160,Jeyam Electronics,General Trade,Madurai,Rajesh Raj,7484791168,24/09/2021,30,9.918311,78.138474,active
OA0161,New Star Infotech,General Trade,KARUR,Senthil Raj,+91 60173 33779,31/03/2020,45,10.961541,78.081031,Active
OA0162,Ram Mobile,General Trade,madurai,Rajesh R,0,2020-09-19,0,9.958759,78.106982,dormant
OA0163,Sri Krishna Communications,Multi-Yard,Chennai,Hari V,7418956462,01/04/2023,30,13.074168,80.248136,Active
OA0164,Ganesh Electronics,General Trade,Cbe,Manoj Nathan,7834157122,22/05/2021,,10.97917,76.92695,Active
OA0165,Chennai Silks Cellpoint,Mobile Specialist,CHENNAI,Senthil Krishnan,8793989465,20-Feb-23,30,13.109041,80.2458,dormant
OA0166,Big C Infotech,General Trade,Thanjavur,Dinesh Nathan,0,19/08/2019,,10.831861,79.128153,Active
OA0167,Meenakshi Telecom,General Trade,madurai,Rajesh Raj,8354724770,30/05/2020,30 days,9.88546,78.139204,Dormant
OA0168,Jeyam Traders,Premium Reseller,Tiruppur,Karthik Kumar,6973906912,01-Aug-19,45,11.072468,77.352985,Dormant
OA0169,Meenakshi Traders,Mobile Specialist,MADURAI,Arun Babu,+91 63779 91158,21/08/2020,15,9.886453,78.094188,
OA0170,Saravana Enterprises,Mobile Specialist,Dindigul,Anand Raj,9085247309,30/05/2023,15,10.39457,78.007999,Inactive
OA0171,Kumaran Traders,General Trade,CBE,Arun Krishnan,6961881752,2022-02-02,45,,,ACTIVE
OA0172,iStore Electronics,General Trade,Erode,Vignesh V,7126179980,30/12/2019,15,11.32416,77.706892,Active
OA0173,Bharath Mobile,General Trade,VELLORE,Suresh R,+91 80245 69529,27-Nov-22,30,12.888549,79.098307,dormant
OA0174,Universal Enterprises,General Trade,Tirupur,Dinesh S,9539300811,22/05/2022,COD,11.151729,77.303363,
OA0175,Lakshmi Communications,Mobile Specialist,Tiruchirappalli,Senthil V,73434-54163,16/01/2024,COD,10.747105,78.727258,Inactive
OA0176,Sri Krishna Cellpoint,General Trade,KARUR,Vijay Babu,7836275542,29-Jun-24,45,10.992886,78.094595,Hold
OA0177,Thangam Mobiles,Mobile Specialist,VELLORE,Saravanan Krishnan,76008-96228,02-Jan-23,15,12.933426,79.132834,Dormant
OA0178,Prime Communications,General Trade,THANJAVUR,Bala Nathan,9312756695,16/03/2021,COD,10.821351,79.131006,Active
OA0179,Ram Agencies,General Trade,Nellai,Bala Krishnan,7887882666,25-Sep-19,45,8.74453,77.761194,Dormant
OA0180,Vinayaga Telecom,Multi-Yard,Dindigul,Dinesh V,+91 75450 37210,2024-07-24,30 days,10.359856,77.948489,ACTIVE
OA0181,Mobile World Telecom,General Trade,SALEM,Saravanan Raj,7128552222,07-Feb-21,30,11.635361,78.101809,Dormant
OA0182,Devi Telecom,Mobile Specialist,VELLORE,Muthu Babu,7837365278,17/09/2024,30,12.926274,79.169841,Dormant
OA0183,Anandha Communications,General Trade,Tiruchirappalli,Naveen Murugan,9487450237,09/07/2024,,,,Active
OA0184,Big C Agencies,Mobile Specialist,Erode,Ravi S,6562044283,2020-02-07,30,11.346648,77.735917,
OA0185,New Star Cellpoint,General Trade,dindigul,Vijay M,919836449624,20-Mar-22,,10.337465,77.974244,
OA0186,Ram Communications,General Trade,Tiruppur,Senthil V,+91 70921 76505,07/03/2022,,11.122647,77.32178,active
OA0187,Sakthi Electronics,General Trade,TRICHY,Arun Kumar,6433059967,26/09/2021,COD,10.755135,78.673959,active
OA0188,Muthu Cellpoint,General Trade,Karur,Senthil M,+91 61374 35341,19/06/2024,30,,,Active
OA0189,Muthu Cellpoint,Premium Reseller,VELLORE,Gopal M,8830863631,15/09/2020,0,,,Active
OA0190,Sangeetha Agencies,General Trade,KARUR,Karthik V,8717875008,03-Dec-22,45,10.973272,78.037155,Hold
OA0191,Devi Mobile,General Trade,ERODE,Karthik V,+91 89426 85649,2021-05-01,,11.309185,77.686336,ACTIVE
OA0192,Vinayaga Traders,Premium Reseller,Vellore,Karthik Murugan,+91 74515 11596,2022-02-11,COD,12.956789,79.144555,Hold
OA0193,Ganesh Infotech,General Trade,VELLORE,Muthu R,8723579359,2023-10-31,COD,12.960942,79.172304,Inactive
OA0194,Karpagam Traders,Mobile Specialist,madurai,Arun Nathan,0,07/07/2021,,,,Inactive
OA0195,Prime Cellpoint,General Trade,Karur,Manoj R,9845714821,27/11/2019,30,10.971632,78.049236,Hold
OA0196,Universal Gadgets,General Trade,COIMBATORE,Karthik V,9019825575,2020-10-17,0,,,Inactive
OA0197,Prime Digital,General Trade,Salem,Manoj Murugan,+91 92243 91448,22/09/2019,30 days,11.643442,78.181591,
OA0198,Devi Mobile,Premium Reseller,Karur,Vignesh R,7012194374,10-Apr-22,0,10.956759,78.08139,Inactive
OA0199,Muthu Enterprises,Multi-Yard,Trichy,Naveen Raj,8881933460,06/02/2024,COD,10.777348,78.6788,dormant
OA0200,Devi Gadgets,Multi-Yard,Erode,Ravi Krishnan,0,23/09/2021,,11.355905,77.701855,Dormant
OA0201,Sakthi Mobile,General Trade,Karur,Prabhu R,9401392206,2022-03-17,,,,Dormant
OA0202,Karpagam Communications,Premium Reseller,TIRUPUR,Muthu V,+91 99219 92222,22/06/2023,0,,,Hold
OA0203,Karpagam Traders,Mobile Specialist,VELLORE,Senthil Nathan,7403769973,16/12/2021,30,12.907997,79.092959,active
OA0204,Sangeetha Mobiles,General Trade,Madurai,Naveen M,7969812400,01-Jul-22,,9.907699,78.100245,Dormant
OA0205,Royal Mobiles,General Trade,coimbatore,Prabhu Kumar,9173283365,2020-08-23,30,10.97768,76.947408,dormant
OA0206,City Digital,General Trade,Salem,Naveen R,6336900372,25/06/2024,,11.660983,78.113227,active
OA0207,Muthu Telecom,Mobile Specialist,salem,Anand M,8321699400,05/07/2022,30,11.642561,78.126578,Inactive
OA0208,Universal Mobile,Mobile Specialist,SALEM,Manoj S,7513203548,22-Apr-20,45,11.674167,78.124369,dormant
OA0209,Anandha Traders,Premium Reseller,Trichy,Bala Kumar,8170102641,07/05/2020,45,10.820464,78.695343,Hold
OA0210,Mobile World Enterprises,General Trade,Nellai,Vijay Murugan,6858305674,12/06/2020,30 days,8.679053,77.747718,dormant
OA0211,Poorvika Gadgets,General Trade,Tiruppur,Bala M,7323951292,03-Mar-23,0,11.137274,77.385775,Active
OA0212,Sangeetha Agencies,General Trade,Vellore,Karthik Krishnan,+91 79048 36665,2025-03-31,,12.93007,79.099532,Active
OA0213,Prime Electronics,Premium Reseller,TIRUNELVELI,Saravanan R,9291932748,2021-10-22,COD,8.686911,77.759735,ACTIVE
OA0214,Sri Krishna Telecom,General Trade,Madras,Ramesh Babu,,2024-02-02,COD,13.068041,80.244544,Inactive
OA0215,Sri Krishna Electronics,Mobile Specialist,Mdu,Karthik Murugan,+91 63773 25855,2023-06-29,30,9.891916,78.153823,ACTIVE
OA0216,iStore Gadgets,Premium Reseller,CHENNAI,Anand Krishnan,80667-29639,15/06/2023,15,13.083203,80.260592,active
OA0217,Devi Electronics,General Trade,Tirunelveli,Suresh Nathan,7456043607,20/07/2024,30 days,8.731683,77.777542,Active
OA0218,Meenakshi Communications,Mobile Specialist,ERODE,Ramesh V,8416840209,26-Jun-21,15,11.344735,77.696328,Active
OA0219,Vinayaga Communications,General Trade,Nellai,Arun V,6162819266,2025-06-07,0,8.677123,77.755993,
OA0220,Chennai Silks Enterprises,Mobile Specialist,COIMBATORE,Vijay Murugan,7944145526,21/06/2021,30,11.007398,76.920279,Inactive
OA0221,Thangam Mobile,Premium Reseller,TRICHY,Rajesh Nathan,7681905379,15/07/2023,30,10.772545,78.706349,ACTIVE
OA0222,Karpagam Cellpoint,General Trade,Karur,Ramesh Krishnan,9287372197,2022-05-13,30 days,,,Dormant
OA0223,Mobile World Traders,General Trade,Trichy,Muthu R,69325-96116,2023-02-15,45,10.758133,78.679773,Active
OA0224,Selvam Electronics,Premium Reseller,chennai,Anand V,7528954220,13/10/2022,45,13.044586,80.307589,dormant
OA0225,Karpagam Cellpoint,Multi-Yard,Tiruppur,Hari Raj,6574284665,20/08/2019,15,11.092957,77.331263,Active
OA0226,Poorvika Gadgets,General Trade,salem,Dinesh Raj,7345596740,2022-06-13,0,11.708724,78.142337,Hold
