Outlet Code,Month,Units,Value
OA0041,2026-07,14,952000
OA0042,2026-02,8,752000
OA0042,2026-03,8,632000
OA0042,2026-04,14,1316000
OA0042,2026-05,18,2322000
OA0042,2026-06,13,1027000
OA0042,2026-07,7,903000
OA0043,2026-02,43,5547000
OA0043,2026-03,26,2054000
OA0043,2026-04,37,4773000
OA0043,2026-05,62,3844000
OA0043,2026-06,32,2528000
OA0043,2026-07,37,2516000
OA0046,2026-02,3,237000
OA0046,2026-03,0,0
OA0046,2026-04,1,68000
OA0046,2026-05,3,186000
OA0046,2026-06,6,408000
OA0046,2026-07,5,645000
OA0049,2026-03,1,68000
OA0051,2026-02,2,158000
OA0051,2026-03,26,2444000
OA0051,2026-04,29,1972000
OA0051,2026-05,26,2444000
OA0051,2026-06,7,903000
OA0051,2026-07,11,748000
OA0053,2026-02,6,408000
OA0053,2026-03,2,124000
OA0053,2026-04,7,476000
OA0054,2026-02,17,2193000
OA0054,2026-03,9,558000
OA0054,2026-04,5,340000
OA0054,2026-05,19,1501000
OA0054,2026-06,9,612000
OA0054,2026-07,19,2451000
OA0055,2026-02,2,188000
OA0055,2026-03,1,62000
OA0055,2026-04,2,136000
OA0055,2026-05,5,310000
OA0055,2026-06,4,272000
OA0055,2026-07,5,645000
OA0056,2026-02,2,188000
OA0056,2026-03,2,158000
OA0056,2026-04,5,395000
OA0056,2026-05,4,248000
OA0056,2026-06,2,158000
OA0056,2026-07,4,248000
OA0057,2026-02,7,434000
OA0058,2026-02,1,79000
OA0058,2026-03,1,62000
OA0058,2026-04,1,62000
OA0064,2026-02,12,744000
OA0064,2026-03,7,553000
OA0064,2026-04,7,553000
OA0064,2026-05,8,496000
OA0064,2026-06,3,186000
OA0064,2026-07,5,310000
OA0067,2026-03,1,68000
OA0070,2026-02,1,68000
OA0071,2026-02,1,68000
OA0072,2026-02,9,711000
OA0072,2026-03,6,564000
OA0072,2026-05,5,340000
OA0072,2026-06,6,474000
OA0072,2026-07,2,258000
OA0075,2026-02,3,186000
OA0076,2026-03,1,62000
OA0078,2026-02,2,158000
OA0078,2026-03,1,68000
OA0078,2026-04,2,136000
OA0080,2026-02,14,868000
OA0080,2026-03,14,1106000
OA0080,2026-04,20,1880000
OA0080,2026-05,18,1116000
OA0080,2026-06,18,2322000
OA0080,2026-07,23,1817000
OA0081,2026-02,1,62000
OA0081,2026-03,1,79000
OA0081,2026-04,1,79000
OA0081,2026-05,1,68000
OA0082,2026-02,3,387000
OA0082,2026-03,2,124000
OA0082,2026-04,2,136000
OA0082,2026-05,4,316000
OA0082,2026-06,3,282000
OA0082,2026-07,5,310000
OA0084,2026-02,3,186000
OA0086,2026-02,2,158000
OA0086,2026-03,3,387000
OA0086,2026-04,3,204000
OA0086,2026-05,2,124000
OA0086,2026-06,3,186000
OA0086,2026-07,3,204000
OA0089,2026-02,1,62000
OA0089,2026-03,1,79000
OA0091,2026-02,22,2068000
OA0091,2026-03,31,2914000
OA0091,2026-04,12,1128000
OA0091,2026-05,26,2054000
OA0091,2026-06,12,1128000
OA0091,2026-07,23,1564000
OA0092,2026-02,2,158000
OA0093,2026-02,67,8643000
OA0093,2026-03,15,930000
OA0093,2026-04,47,2914000
OA0093,2026-05,51,4794000
OA0093,2026-06,38,3002000
OA0093,2026-07,56,3808000
OA0096,2026-02,2,124000
OA0096,2026-03,5,395000
OA0097,2026-02,23,1426000
OA0097,2026-03,16,1088000
OA0097,2026-04,22,1364000
OA0097,2026-05,23,1426000
OA0097,2026-06,9,711000
OA0097,2026-07,34,4386000
OA0098,2026-02,6,564000
OA0098,2026-03,1,79000
OA0098,2026-04,2,136000
OA0098,2026-05,4,272000
OA0098,2026-07,4,516000
OA0100,2026-02,23,2967000
OA0100,2026-03,34,4386000
OA0100,2026-04,71,4402000
OA0100,2026-05,20,2580000
OA0100,2026-06,22,2068000
OA0100,2026-07,27,2538000
OA0101,2026-02,15,1185000
OA0101,2026-03,17,1598000
OA0101,2026-04,13,1027000
OA0101,2026-05,9,846000
OA0101,2026-06,19,1292000
OA0101,2026-07,0,0
OA0102,2026-02,3,237000
OA0102,2026-03,2,188000
OA0102,2026-04,2,136000
OA0102,2026-05,2,188000
OA0102,2026-07,1,62000
OA0103,2026-02,3,237000
OA0103,2026-03,2,158000
OA0103,2026-04,2,136000
OA0103,2026-05,2,136000
OA0103,2026-07,2,136000
OA0104,2026-02,1,62000
OA0104,2026-03,1,79000
OA0104,2026-04,1,68000
OA0104,2026-05,1,62000
OA0105,2026-02,7,434000
OA0105,2026-03,8,496000
OA0105,2026-04,3,204000
OA0106,2026-02,20,1360000
OA0106,2026-03,19,1786000
OA0106,2026-04,23,2967000
OA0106,2026-05,5,310000
OA0106,2026-06,16,2064000
OA0106,2026-07,30,2370000
OA0108,2026-02,1,79000
OA0108,2026-03,1,62000
OA0109,2026-02,6,774000
OA0109,2026-03,4,248000
OA0109,2026-04,6,564000
OA0109,2026-05,6,564000
OA0109,2026-06,3,186000
OA0109,2026-07,5,310000
OA0112,2026-02,2,136000
OA0112,2026-03,4,248000
OA0112,2026-04,1,68000
OA0112,2026-05,4,248000
OA0112,2026-06,5,645000
OA0112,2026-07,3,282000
OA0114,2026-02,28,2212000
OA0114,2026-03,35,4515000
OA0114,2026-04,35,3290000
OA0114,2026-05,21,1428000
OA0114,2026-06,17,1156000
OA0114,2026-07,39,2652000
OA0115,2026-02,8,496000
OA0115,2026-03,4,316000
OA0115,2026-04,9,612000
OA0115,2026-05,15,1410000
OA0115,2026-06,12,948000
OA0115,2026-07,13,1222000
OA0116,2026-02,22,1738000
OA0116,2026-03,7,434000
OA0116,2026-04,13,1677000
OA0116,2026-05,24,3096000
OA0116,2026-06,24,1632000
OA0116,2026-07,7,658000
OA0117,2026-02,46,3128000
OA0117,2026-03,48,3792000
OA0117,2026-04,58,5452000
OA0117,2026-05,49,6321000
OA0117,2026-06,27,2133000
OA0117,2026-07,26,2054000
OA0118,2026-02,2,188000
OA0118,2026-03,2,158000
OA0118,2026-04,2,158000
OA0118,2026-05,2,188000
OA0118,2026-06,2,158000
OA0118,2026-07,1,79000
OA0119,2026-02,4,316000
OA0119,2026-03,6,474000
OA0119,2026-04,6,408000
OA0119,2026-05,7,658000
OA0119,2026-06,5,310000
OA0119,2026-07,4,316000
OA0120,2026-02,1,68000
OA0121,2026-02,27,2133000
OA0121,2026-03,22,2068000
OA0121,2026-04,16,2064000
OA0121,2026-05,13,884000
OA0121,2026-06,20,1240000
OA0121,2026-07,21,2709000
OA0123,2026-02,5,395000
OA0123,2026-03,2,158000
OA0123,2026-04,1,129000
OA0123,2026-05,1,62000
OA0123,2026-06,3,282000
OA0123,2026-07,4,316000
OA0124,2026-03,1,68000
OA0126,2026-02,26,3354000
OA0126,2026-03,24,1896000
OA0126,2026-04,10,620000
OA0126,2026-05,11,1034000
OA0126,2026-06,17,1054000
OA0126,2026-07,33,2607000
OA0127,2026-02,6,564000
OA0127,2026-03,5,470000
OA0127,2026-04,6,372000
OA0127,2026-05,5,310000
OA0127,2026-06,6,774000
OA0127,2026-07,10,620000
OA0128,2026-02,2,136000
OA0128,2026-03,4,248000
OA0130,2026-02,3,237000
OA0130,2026-03,1,62000
OA0130,2026-04,2,124000
OA0131,2026-02,5,340000
OA0131,2026-03,3,237000
OA0131,2026-04,8,496000
OA0131,2026-05,6,774000
OA0131,2026-06,2,136000
OA0131,2026-07,3,186000
OA0134,2026-02,1,79000
OA0134,2026-03,1,62000
OA0136,2026-02,1,62000
OA0137,2026-02,2,124000
OA0139,2026-02,6,564000
OA0139,2026-03,9,1161000
OA0139,2026-04,5,470000
OA0139,2026-05,10,1290000
OA0139,2026-06,2,258000
OA0139,2026-07,5,395000
OA0140,2026-02,7,434000
OA0142,2026-02,30,2820000
OA0142,2026-03,13,1027000
OA0142,2026-04,35,2170000
OA0142,2026-05,1,129000
OA0142,2026-06,25,2350000
OA0142,2026-07,41,3239000
OA0143,2026-03,1,68000
OA0144,2026-02,5,310000
OA0144,2026-03,4,248000
OA0144,2026-04,5,340000
OA0144,2026-05,4,316000
OA0144,2026-06,3,186000
OA0144,2026-07,2,188000
OA0146,2026-02,1,79000
OA0146,2026-03,3,237000
OA0146,2026-04,3,186000
OA0146,2026-05,1,62000
OA0146,2026-06,5,395000
OA0146,2026-07,3,387000
OA0148,2026-03,2,258000
OA0148,2026-04,1,79000
OA0148,2026-05,1,79000
OA0148,2026-06,3,204000
OA0148,2026-07,0,0
OA0149,2026-02,3,282000
OA0149,2026-03,3,237000
OA0149,2026-04,2,124000
OA0149,2026-05,4,248000
OA0149,2026-06,5,470000
OA0149,2026-07,3,387000
OA0150,2026-02,3,237000
OA0150,2026-03,10,620000
OA0150,2026-04,7,434000
OA0150,2026-05,17,1156000
OA0150,2026-06,11,1034000
OA0150,2026-07,17,2193000
OA0151,2026-02,4,376000
OA0151,2026-04,5,645000
OA0151,2026-05,3,237000
OA0151,2026-06,5,645000
OA0151,2026-07,4,272000
OA0153,2026-02,4,272000
OA0153,2026-03,5,340000
OA0153,2026-04,3,237000
OA0153,2026-05,3,186000
OA0157,2026-02,1,79000
OA0157,2026-03,1,68000
OA0157,2026-04,1,68000
OA0157,2026-05,1,68000
OA0158,2026-02,5,645000
OA0158,2026-03,3,186000
OA0158,2026-04,1,62000
OA0158,2026-05,3,282000
OA0158,2026-06,2,158000
OA0158,2026-07,5,395000
OA0159,2026-02,7,476000
OA0159,2026-03,6,474000
OA0159,2026-04,9,711000
OA0159,2026-05,3,186000
OA0160,2026-02,6,474000
OA0161,2026-02,8,496000
OA0161,2026-03,6,408000
OA0161,2026-04,16,1088000
OA0161,2026-05,7,658000
OA0161,2026-06,9,1161000
OA0161,2026-07,5,645000
OA0162,2026-02,3,237000
OA0162,2026-03,3,237000
OA0163,2026-02,2,124000
OA0163,2026-03,2,136000
OA0163,2026-04,4,316000
OA0164,2026-02,14,1806000
OA0164,2026-03,0,0
OA0164,2026-04,22,1738000
OA0164,2026-05,19,2451000
OA0164,2026-06,9,612000
OA0164,2026-07,17,1598000
OA0165,2026-02,3,186000
OA0165,2026-03,2,158000
OA0165,2026-04,3,237000
OA0165,2026-05,3,282000
OA0165,2026-06,4,376000
OA0165,2026-07,2,136000
OA0166,2026-02,8,632000
OA0166,2026-03,2,124000
OA0166,2026-04,10,1290000
OA0166,2026-05,10,1290000
OA0166,2026-06,9,711000
OA0166,2026-07,12,1128000
OA0167,2026-03,3,387000
OA0167,2026-04,3,186000
OA0167,2026-05,1,68000
OA0167,2026-06,2,124000
OA0167,2026-07,2,124000
OA0168,2026-02,8,544000
OA0168,2026-03,7,553000
OA0168,2026-04,5,470000
OA0168,2026-05,4,376000
OA0168,2026-06,3,282000
OA0168,2026-07,3,237000
OA0170,2026-02,3,186000
OA0170,2026-03,9,846000
OA0170,2026-04,4,516000
OA0170,2026-05,20,1580000
OA0170,2026-06,6,474000
OA0170,2026-07,4,316000
OA0171,2026-02,1,68000
OA0171,2026-03,1,68000
OA0171,2026-04,2,136000
OA0172,2026-02,4,272000
OA0172,2026-03,10,1290000
OA0172,2026-04,7,903000
OA0172,2026-05,2,258000
OA0172,2026-06,7,903000
OA0172,2026-07,11,1419000
OA0173,2026-02,1,129000
OA0173,2026-03,2,188000
OA0173,2026-04,2,258000
OA0173,2026-05,2,136000
OA0173,2026-06,2,136000
OA0173,2026-07,1,79000
OA0174,2026-02,7,658000
OA0174,2026-03,6,774000
OA0174,2026-04,6,564000
OA0174,2026-05,9,1161000
OA0174,2026-06,8,544000
OA0174,2026-07,9,846000
OA0175,2026-02,14,1106000
OA0175,2026-03,18,1422000
OA0175,2026-04,15,1020000
OA0175,2026-05,16,1504000
OA0175,2026-06,10,790000
OA0176,2026-02,2,124000
OA0176,2026-03,2,136000
OA0176,2026-04,1,62000
OA0176,2026-05,0,0
OA0176,2026-06,2,136000
OA0176,2026-07,1,62000
OA0177,2026-02,1,62000
OA0177,2026-03,1,79000
OA0177,2026-04,1,79000
OA0180,2026-02,3,186000
OA0180,2026-03,2,124000
OA0182,2026-02,1,62000
OA0182,2026-03,2,188000
OA0182,2026-04,2,158000
OA0182,2026-05,2,158000
OA0182,2026-06,1,79000
OA0182,2026-07,3,204000
OA0186,2026-02,6,372000
OA0186,2026-03,7,476000
OA0186,2026-04,8,752000
OA0186,2026-05,6,474000
OA0186,2026-06,6,474000
OA0186,2026-07,12,1548000
OA0187,2026-02,1,68000
OA0187,2026-03,1,79000
OA0189,2026-02,1,79000
OA0189,2026-03,1,79000
OA0189,2026-04,1,62000
OA0191,2026-02,1,68000
OA0192,2026-02,4,316000
OA0194,2026-02,7,434000
OA0194,2026-03,7,658000
OA0194,2026-04,10,940000
OA0194,2026-05,7,658000
OA0194,2026-06,5,395000
OA0194,2026-07,6,564000
OA0195,2026-02,1,68000
OA0195,2026-03,2,158000
OA0197,2026-02,2,158000
OA0197,2026-03,3,186000
OA0197,2026-04,5,310000
OA0198,2026-02,1,68000
OA0198,2026-03,3,237000
OA0198,2026-04,1,62000
OA0198,2026-05,5,310000
OA0202,2026-02,7,476000
OA0202,2026-03,10,620000
OA0202,2026-04,6,474000
OA0202,2026-05,17,2193000
OA0202,2026-06,8,544000
OA0202,2026-07,7,434000
OA0203,2026-02,3,237000
OA0203,2026-03,3,237000
OA0204,2026-02,8,632000
OA0204,2026-03,11,1419000
OA0204,2026-04,7,553000
OA0204,2026-05,5,470000
OA0204,2026-06,5,470000
OA0204,2026-07,9,558000
OA0207,2026-02,7,476000
OA0207,2026-03,15,930000
OA0207,2026-04,10,680000
OA0207,2026-05,26,1768000
OA0207,2026-06,25,1975000
OA0207,2026-07,10,620000
OA0208,2026-02,38,4902000
OA0208,2026-03,32,2176000
OA0208,2026-04,32,2176000
OA0208,2026-05,18,2322000
OA0208,2026-06,30,2820000
OA0208,2026-07,45,3555000
OA0209,2026-02,0,0
OA0209,2026-03,1,68000
OA0209,2026-04,3,387000
OA0209,2026-05,1,68000
OA0209,2026-06,6,774000
OA0209,2026-07,2,188000
OA0210,2026-02,1,62000
OA0214,2026-02,8,632000
OA0214,2026-03,10,1290000
OA0214,2026-04,18,1116000
OA0214,2026-05,8,1032000
OA0214,2026-06,16,1088000
OA0214,2026-07,10,1290000
OA0215,2026-02,31,3999000
OA0215,2026-03,15,1410000
OA0215,2026-04,9,612000
OA0215,2026-05,16,992000
OA0215,2026-06,34,3196000
OA0215,2026-07,12,816000
OA0218,2026-02,45,4230000
OA0218,2026-03,22,1496000
OA0218,2026-04,44,5676000
OA0218,2026-05,27,2133000
OA0218,2026-06,27,1674000
OA0218,2026-07,39,3081000
OA0219,2026-02,3,237000
OA0219,2026-03,7,553000
OA0220,2026-02,3,186000
OA0220,2026-03,1,62000
OA0220,2026-04,1,62000
OA0220,2026-05,2,124000
OA0221,2026-02,1,68000
OA0222,2026-02,1,68000
OA0223,2026-02,1,62000
OA0223,2026-03,1,79000
OA0227,2026-02,7,903000
OA0227,2026-03,11,682000
OA0227,2026-04,8,1032000
OA0227,2026-05,7,476000
OA0227,2026-06,4,516000
OA0227,2026-07,10,620000
OA0229,2026-02,4,376000
OA0229,2026-03,3,387000
OA0229,2026-04,4,248000
OA0229,2026-05,1,79000
OA0229,2026-06,1,68000
OA0229,2026-07,2,136000
OA0230,2026-02,4,316000
OA0230,2026-03,1,68000
OA0230,2026-04,2,158000
OA0230,2026-05,5,395000
OA0230,2026-06,6,408000
OA0230,2026-07,1,79000
OA0231,2026-02,2,136000
OA0231,2026-03,3,387000
OA0231,2026-04,1,79000
OA0231,2026-05,2,158000
OA0231,2026-06,1,79000
OA0231,2026-07,2,258000
OA0232,2026-02,2,124000
OA0232,2026-03,3,282000
OA0232,2026-04,0,0
OA0232,2026-05,2,188000
OA0232,2026-06,2,158000
OA0232,2026-07,4,316000
OA0233,2026-02,1,68000
OA0233,2026-03,5,340000
OA0234,2026-02,5,395000
OA0234,2026-03,1,68000
OA0235,2026-02,2,124000
OA0235,2026-03,3,186000
OA0236,2026-02,2,158000
OA0236,2026-03,13,884000
OA0236,2026-04,14,1106000
OA0236,2026-05,13,1677000
OA0236,2026-06,12,816000
OA0236,2026-07,5,645000
OA0237,2026-02,13,884000
OA0237,2026-03,31,3999000
OA0237,2026-04,19,1292000
OA0237,2026-05,36,2448000
OA0237,2026-06,9,846000
OA0237,2026-07,22,1738000
OA0238,2026-02,32,4128000
OA0238,2026-03,19,1786000
OA0238,2026-04,45,2790000
OA0238,2026-05,33,2046000
OA0238,2026-06,33,2244000
OA0238,2026-07,27,1674000
OA0241,2026-02,2,258000
OA0241,2026-03,1,94000
OA0241,2026-04,1,129000
OA0241,2026-05,0,0
OA0241,2026-06,2,188000
OA0241,2026-07,2,158000
OA0242,2026-02,35,4515000
OA0242,2026-03,15,1935000
OA0242,2026-04,21,2709000
OA0242,2026-05,51,3468000
OA0242,2026-06,45,3555000
OA0242,2026-07,30,2820000
OA0243,2026-02,15,1935000
OA0243,2026-03,8,752000
OA0243,2026-04,3,387000
OA0243,2026-05,9,711000
OA0243,2026-06,11,1034000
OA0243,2026-07,9,558000
OA0245,2026-02,5,340000
OA0245,2026-03,2,124000
OA0245,2026-04,1,79000
OA0246,2026-02,12,1548000
OA0246,2026-03,6,774000
OA0246,2026-04,20,1580000
OA0246,2026-05,1,68000
OA0246,2026-06,7,476000
OA0246,2026-07,15,1020000
OA0247,2026-02,1,68000
OA0248,2026-02,8,544000
OA0248,2026-03,2,136000
OA0248,2026-04,4,248000
OA0249,2026-02,50,3950000
OA0249,2026-03,33,2046000
OA0249,2026-04,24,1488000
OA0249,2026-05,12,1548000
OA0249,2026-06,11,1034000
OA0249,2026-07,29,1798000
OA0250,2026-02,5,395000
OA0250,2026-03,7,553000
OA0250,2026-04,4,376000
OA0250,2026-05,5,470000
OA0250,2026-06,3,282000
OA0250,2026-07,5,340000
OA0252,2026-02,16,1264000
OA0252,2026-03,14,952000
OA0252,2026-04,17,1156000
OA0252,2026-05,10,620000
OA0252,2026-06,11,1419000
OA0252,2026-07,8,632000
OA0256,2026-02,29,3741000
OA0256,2026-03,31,2108000
OA0256,2026-04,15,930000
OA0256,2026-05,9,1161000
OA0256,2026-06,17,2193000
OA0256,2026-07,32,1984000
OA0257,2026-02,3,204000
OA0257,2026-03,7,434000
OA0257,2026-04,5,395000
OA0258,2026-02,30,1860000
OA0258,2026-03,22,1496000
OA0258,2026-04,33,2244000
OA0258,2026-05,0,0
OA0258,2026-06,41,2542000
OA0258,2026-07,10,1290000
OA0259,2026-02,3,282000
OA0259,2026-03,10,1290000
OA0259,2026-04,6,774000
OA0259,2026-05,12,1128000
OA0259,2026-06,3,186000
OA0259,2026-07,8,1032000
OA0260,2026-02,23,1564000
OA0260,2026-03,18,1116000
OA0260,2026-04,23,1564000
OA0260,2026-05,19,1501000
OA0260,2026-06,17,2193000
OA0260,2026-07,14,1106000
OA0262,2026-02,13,1222000
OA0262,2026-03,9,846000
OA0262,2026-04,10,790000
OA0262,2026-05,16,2064000
OA0262,2026-07,15,1020000
OA0264,2026-02,5,395000
OA0264,2026-03,20,2580000
OA0264,2026-04,9,612000
OA0264,2026-05,11,682000
OA0264,2026-06,22,1364000
OA0264,2026-07,5,645000
OA0266,2026-02,33,2244000
OA0266,2026-03,18,1692000
OA0266,2026-04,42,2856000
OA0266,2026-05,67,5293000
OA0266,2026-06,38,2584000
OA0266,2026-07,16,2064000
OA0269,2026-02,32,2176000
OA0269,2026-03,29,2291000
OA0269,2026-04,41,2788000
OA0269,2026-05,14,868000
OA0269,2026-06,53,3286000
OA0269,2026-07,27,1836000
OA0270,2026-02,2,158000
OA0270,2026-03,1,79000
OA0271,2026-02,3,282000
OA0271,2026-03,5,310000
OA0271,2026-04,2,188000
OA0271,2026-05,3,204000
OA0271,2026-06,2,188000
OA0272,2026-02,2,124000
OA0272,2026-03,3,186000
OA0272,2026-04,3,282000
OA0272,2026-05,3,237000
OA0272,2026-06,4,376000
OA0272,2026-07,3,186000
OA0274,2026-02,37,3478000
OA0274,2026-03,23,2967000
OA0274,2026-04,38,3572000
OA0274,2026-05,0,0
OA0274,2026-06,38,4902000
OA0274,2026-07,16,1264000
OA0276,2026-02,1,79000
OA0276,2026-03,1,62000
OA0276,2026-04,1,62000
OA0276,2026-05,1,62000
OA0277,2026-02,20,1360000
OA0277,2026-03,23,1817000
OA0277,2026-04,24,1632000
OA0277,2026-05,15,1020000
OA0277,2026-06,18,1422000
OA0277,2026-07,15,930000
OA0278,2026-02,15,1185000
OA0278,2026-03,7,903000
OA0278,2026-04,30,3870000
OA0278,2026-05,10,620000
OA0278,2026-06,24,1632000
OA0278,2026-07,18,1422000
OA0279,2026-02,1,68000
OA0281,2026-02,6,564000
OA0281,2026-03,5,470000
OA0281,2026-04,13,1677000
OA0281,2026-05,16,2064000
OA0281,2026-06,13,1027000
OA0281,2026-07,6,474000
OA0283,2026-02,16,1504000
OA0283,2026-03,14,1806000
OA0283,2026-04,7,476000
OA0283,2026-05,11,682000
OA0283,2026-06,8,496000
OA0283,2026-07,18,1116000
OA0286,2026-02,1,68000
OA0286,2026-03,0,0
OA0286,2026-04,3,186000
OA0286,2026-05,2,136000
OA0286,2026-06,1,129000
OA0286,2026-07,2,158000
OA0287,2026-02,1,94000
OA0287,2026-03,2,258000
OA0287,2026-04,1,62000
OA0287,2026-05,3,204000
OA0287,2026-06,2,124000
OA0287,2026-07,3,204000
OA0289,2026-02,7,553000
OA0289,2026-03,19,1786000
OA0289,2026-04,19,1501000
OA0289,2026-05,23,1817000
OA0289,2026-06,14,868000
OA0289,2026-07,3,237000
OA0292,2026-02,38,4902000
OA0292,2026-03,25,1700000
OA0292,2026-04,26,3354000
OA0292,2026-05,0,0
OA0292,2026-06,26,3354000
OA0292,2026-07,47,3196000
OA0293,2026-02,6,408000
OA0293,2026-03,13,1027000
OA0293,2026-04,9,612000
OA0293,2026-05,19,1501000
OA0293,2026-06,15,1185000
OA0293,2026-07,9,1161000
OA0294,2026-02,0,0
OA0294,2026-05,1,94000
OA0294,2026-06,1,129000
OA0294,2026-07,1,68000
OA0297,2026-02,42,3318000
OA0297,2026-03,54,5076000
OA0297,2026-05,41,3239000
OA0297,2026-06,22,2838000
OA0297,2026-07,42,3318000
OA0298,2026-02,26,2444000
OA0298,2026-03,25,2350000
OA0298,2026-04,63,5922000
OA0298,2026-05,31,1922000
OA0298,2026-06,12,744000
OA0298,2026-07,30,1860000
OA0299,2026-02,1,62000
OA0300,2026-02,4,272000
OA0300,2026-03,4,272000
OA0300,2026-04,2,188000
OA0300,2026-05,2,258000
OA0300,2026-06,1,94000
OA0300,2026-07,6,408000
OA0302,2026-03,4,376000
OA0302,2026-04,1,68000
OA0302,2026-05,1,129000
OA0302,2026-06,3,237000
OA0302,2026-07,4,516000
OA0305,2026-02,7,434000
OA0305,2026-03,7,903000
OA0305,2026-04,3,282000
OA0305,2026-05,11,1034000
OA0305,2026-06,9,846000
OA0305,2026-07,7,476000
OA0306,2026-02,32,2176000
OA0306,2026-03,24,1632000
OA0306,2026-04,21,1302000
OA0306,2026-05,23,1817000
OA0306,2026-06,16,992000
OA0306,2026-07,28,3612000
OA0307,2026-02,8,544000
OA0307,2026-03,10,680000
OA0307,2026-04,5,645000
OA0307,2026-05,8,496000
OA0307,2026-06,8,752000
OA0307,2026-07,7,553000
OA0308,2026-02,0,0
OA0308,2026-03,2,136000
OA0308,2026-04,1,62000
OA0308,2026-05,3,204000
OA0308,2026-06,1,68000
OA0308,2026-07,2,258000
OA0309,2026-02,2,136000
OA0310,2026-02,1,68000
OA0314,2026-02,3,204000
OA0314,2026-03,2,188000
OA0314,2026-05,4,248000
OA0314,2026-06,5,645000
OA0314,2026-07,2,136000
OA0316,2026-02,8,1032000
OA0316,2026-03,12,816000
OA0316,2026-04,10,940000
OA0316,2026-05,11,1419000
OA0316,2026-06,7,658000
OA0316,2026-07,6,564000
OA0318,2026-02,0,0
OA0318,2026-03,0,0
OA0318,2026-04,1,79000
OA0318,2026-05,1,94000
OA0318,2026-06,1,94000
OA0318,2026-07,1,79000
OA0320,2026-02,4,272000
OA0320,2026-03,3,186000
OA0320,2026-04,3,237000
OA0320,2026-05,3,237000
OA0321,2026-02,3,237000
OA0321,2026-03,3,204000
OA0321,2026-04,2,136000
OA0321,2026-05,3,237000
OA0321,2026-06,0,0
OA0321,2026-07,5,645000
OA0322,2026-02,8,544000
OA0322,2026-03,6,474000
OA0322,2026-04,2,188000
OA0322,2026-05,9,846000
OA0322,2026-06,6,474000
OA0322,2026-07,7,658000
OA0323,2026-02,2,258000
